City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Acari,-15.4311,-74.6158,74.89,66,82,8.99,PE,2021-11-27 15:54:10
68,Nioro,13.35,-15.75,98.51,16,96,9.28,GM,2021-11-27 15:54:10
69,Yellowknife,62.456,-114.3525,-8.88,84,20,9.22,CA,2021-11-27 15:51:30
70,New Norfolk,-42.7826,147.0587,45.9,96,0,3.15,AU,2021-11-27 15:48:57
71,Tiksi,71.6872,128.8694,-9.49,99,90,6.8,RU,2021-11-27 15:54:11
72,Yulara,-25.2406,130.9889,69.64,37,0,6.91,AU,2021-11-27 15:54:11
73,Aklavik,68.2191,-135.0107,-8.68,70,40,14.97,CA,2021-11-27 15:54:12
74,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,85.8,74,40,6.91,BR,2021-11-27 15:54:12
75,Port Blair,11.6667,92.75,81.07,80,12,10.16,IN,2021-11-27 15:54:13
76,Yar-Sale,66.8333,70.8333,6.84,96,100,5.59,RU,2021-11-27 15:54:14
77,Beauceville,46.2179,-70.7787,22.66,80,100,0.0,CA,2021-11-27 15:54:14
78,Valleyview,55.0667,-117.2859,17.4,87,21,5.57,CA,2021-11-27 15:54:14
79,Kavieng,-2.5744,150.7967,82.26,72,74,2.33,PG,2021-11-27 15:54:15
80,Dakoro,14.5106,6.765,92.37,8,30,12.91,NE,2021-11-27 15:54:15
81,Hermanus,-34.4187,19.2345,68.16,62,98,21.47,ZA,2021-11-27 15:48:51
82,Lata,40.1629,-8.3327,52.21,50,9,13.94,PT,2021-11-27 15:54:16
83,Odweyne,9.4092,45.064,72.7,63,98,17.74,SO,2021-11-27 15:54:17
84,Spassk,52.747,87.7545,21.58,84,100,7.2,RU,2021-11-27 15:54:17
85,Kaitangata,-46.2817,169.8464,42.96,93,80,5.17,NZ,2021-11-27 15:50:20
86,Paracatu,-17.2222,-46.8747,87.04,43,69,9.33,BR,2021-11-27 15:54:18
87,Walvis Bay,-22.9575,14.5053,67.15,53,0,20.8,NA,2021-11-27 15:54:19
88,Georgetown,5.4112,100.3354,80.55,89,40,3.44,MY,2021-11-27 15:45:15
89,Barrow,71.2906,-156.7887,-16.58,83,90,3.44,US,2021-11-27 15:50:02
90,Geraldton,-28.7667,114.6,64.81,72,0,3.44,AU,2021-11-27 15:50:14
91,Thinadhoo,0.5333,72.9333,82.81,69,100,18.37,MV,2021-11-27 15:54:19
92,Karratha,-20.7377,116.8463,85.6,33,0,8.5,AU,2021-11-27 15:54:20
93,Upernavik,72.7868,-56.1549,13.53,90,100,3.11,GL,2021-11-27 15:55:21
94,Buchanan,5.8808,-10.0467,89.56,73,77,10.16,LR,2021-11-27 15:55:21
95,Baghdad,33.3406,44.4009,67.91,42,0,5.75,IQ,2021-11-27 15:52:45
96,Gizo,-8.103,156.8419,81.95,75,97,3.6,SB,2021-11-27 15:55:22
97,Spornoye,50.8448,37.2913,37.42,89,100,14.63,RU,2021-11-27 15:55:22
98,Bowen,-20.0167,148.2333,75.42,78,14,3.96,AU,2021-11-27 15:55:23
99,Waddan,29.1614,16.139,79.99,23,69,9.86,LY,2021-11-27 15:55:23
100,Airai,-8.9266,125.4092,62.37,94,94,0.81,TL,2021-11-27 15:48:50
101,Mar Del Plata,-38.0023,-57.5575,66.22,77,75,10.36,AR,2021-11-27 15:50:18
102,Ancud,-41.8697,-73.8203,58.53,55,7,10.71,CL,2021-11-27 15:51:37
103,Jardim,-21.4803,-56.1381,92.59,52,7,5.28,BR,2021-11-27 15:55:24
104,Imbituba,-28.24,-48.6703,78.69,65,56,15.84,BR,2021-11-27 15:55:24
105,Ribeira Grande,38.5167,-28.7,66.6,55,20,17.27,PT,2021-11-27 15:50:09
106,Voyvozh,62.892,54.9635,19.51,91,93,8.95,RU,2021-11-27 15:55:25
107,Cidreira,-30.1811,-50.2056,73.09,81,52,13.04,BR,2021-11-27 15:48:58
